ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6060,"2020",2009,452,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.05295482102377563
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6060,"2020",6702,951,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.17665665032421318
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6060,"2020",3361,728,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.08859191312140861
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6060,"2020",4998,900,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.13174126205914913
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6060,"2020",4508,759,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.1188254520533502
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6060,"2020",3554,594,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.09367916073593759
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6060,"2020",2148,543,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.0566186936580737
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6060,"2020",668,276,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.017607675681374876
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6060,"2020",1717,468,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.04525805261215668
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6060,"2020",4037,654,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.10641045917022511
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6060,"2020",3048,509,"Grants Pass, OR","16000US4130550","grants-pass-or","Native Born",0.08034160999525541
3,"Foreign Born",0,"Under 5 Years",2020,"2020",0,27,"Grants Pass, OR","16000US4130550","grants-pass-or","Foreign Born",0
3,"Foreign Born",1,"5 to 17 Years",2020,"2020",5,12,"Grants Pass, OR","16000US4130550","grants-pass-or","Foreign Born",0.00013179397965100954
3,"Foreign Born",2,"18 to 24 Years",2020,"2020",10,22,"Grants Pass, OR","16000US4130550","grants-pass-or","Foreign Born",0.0002635879593020191
3,"Foreign Born",3,"25 to 34 Years",2020,"2020",73,69,"Grants Pass, OR","16000US4130550","grants-pass-or","Foreign Born",0.0019241921029047393
3,"Foreign Born",4,"35 to 44 Years",2020,"2020",328,137,"Grants Pass, OR","16000US4130550","grants-pass-or","Foreign Born",0.008645685065106226
