ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",563,"Grants Pass, OR","16000US4130550","grants-pass-or",31779,0.8376561758658865
0,"White Alone",1,"Hispanic or Latino",2020,"2020",511.00000000000006,"Grants Pass, OR","16000US4130550","grants-pass-or",2439,0.06428910327376246
1,"Black or African American Alone",0,"Not Hispanic or Latino",2020,"2020",105,"Grants Pass, OR","16000US4130550","grants-pass-or",249,0.006563340186620275
1,"Black or African American Alone",1,"Hispanic or Latino",2020,"2020",65,"Grants Pass, OR","16000US4130550","grants-pass-or",49,0.0012915810005798935
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2020,"2020",301,"Grants Pass, OR","16000US4130550","grants-pass-or",278,0.007327745268596131
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2020,"2020",57.00000000000001,"Grants Pass, OR","16000US4130550","grants-pass-or",35,0.0009225578575570668
3,"Asian Alone",0,"Not Hispanic or Latino",2020,"2020",188,"Grants Pass, OR","16000US4130550","grants-pass-or",354,0.009331013759291476
3,"Asian Alone",1,"Hispanic or Latino",2020,"2020",27,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",27,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",3,"Grants Pass, OR","16000US4130550","grants-pass-or",1,0.00002635879593020191
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",92,"Grants Pass, OR","16000US4130550","grants-pass-or",87,0.002293215245927566
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",271,"Grants Pass, OR","16000US4130550","grants-pass-or",382,0.01006906004533713
6,"Two or More Races",0,"Not Hispanic or Latino",2020,"2020",299.40774873072337,"Grants Pass, OR","16000US4130550","grants-pass-or",1273,0.03355474721914703
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",310.4077962938431,"Grants Pass, OR","16000US4130550","grants-pass-or",1012,0.02667510148136433
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",594,"Grants Pass, OR","16000US4130550","grants-pass-or",31796,0.8468770808363297
0,"White Alone",1,"Hispanic or Latino",2019,"2019",521,"Grants Pass, OR","16000US4130550","grants-pass-or",2122,0.05651884405380211
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",75,"Grants Pass, OR","16000US4130550","grants-pass-or",267,0.007111466240511386
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",65,"Grants Pass, OR","16000US4130550","grants-pass-or",43,0.0011452923158876015
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",246.00000000000003,"Grants Pass, OR","16000US4130550","grants-pass-or",321,0.008549740311626048
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",35,"Grants Pass, OR","16000US4130550","grants-pass-or",20,0.0005326941004128379
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",219,"Grants Pass, OR","16000US4130550","grants-pass-or",415,0.011053402583566387
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",36,"Grants Pass, OR","16000US4130550","grants-pass-or",24,0.0006392329204954055
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",26,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",26,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",46,"Grants Pass, OR","16000US4130550","grants-pass-or",39,0.0010387534958050339
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",553,"Grants Pass, OR","16000US4130550","grants-pass-or",782,0.020828339326141962
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",272.2443755158222,"Grants Pass, OR","16000US4130550","grants-pass-or",1214,0.03233453189505926
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",255,"Grants Pass, OR","16000US4130550","grants-pass-or",502,0.013370621920362232
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",571,"Grants Pass, OR","16000US4130550","grants-pass-or",31352,0.8427730437353834
0,"White Alone",1,"Hispanic or Latino",2018,"2018",542,"Grants Pass, OR","16000US4130550","grants-pass-or",2107,0.056638262412300744
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",77,"Grants Pass, OR","16000US4130550","grants-pass-or",251,0.0067471304534824335
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",25,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",318,"Grants Pass, OR","16000US4130550","grants-pass-or",357,0.009596516222682186
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",155,"Grants Pass, OR","16000US4130550","grants-pass-or",156,0.004193435660331712
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",231.99999999999997,"Grants Pass, OR","16000US4130550","grants-pass-or",289,0.007768608370742722
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",41,"Grants Pass, OR","16000US4130550","grants-pass-or",24,0.0006451439477433402
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",25,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",25,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",22,"Grants Pass, OR","16000US4130550","grants-pass-or",12,0.0003225719738716701
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",628,"Grants Pass, OR","16000US4130550","grants-pass-or",1215,0.0326604123545066
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",319.35246985110354,"Grants Pass, OR","16000US4130550","grants-pass-or",1169,0.0314238864546652
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",169.7586522095413,"Grants Pass, OR","16000US4130550","grants-pass-or",269,0.007230988414289938
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",633,"Grants Pass, OR","16000US4130550","grants-pass-or",31069,0.846866737536457
0,"White Alone",1,"Hispanic or Latino",2017,"2017",465.99999999999994,"Grants Pass, OR","16000US4130550","grants-pass-or",1836,0.050044975059285304
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",70,"Grants Pass, OR","16000US4130550","grants-pass-or",224,0.0061057050181263115
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",21,"Grants Pass, OR","16000US4130550","grants-pass-or",11,0.0002998337285687028
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",275,"Grants Pass, OR","16000US4130550","grants-pass-or",378,0.01030337721808815
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",119,"Grants Pass, OR","16000US4130550","grants-pass-or",98,0.0026712459454302615
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",105,"Grants Pass, OR","16000US4130550","grants-pass-or",173,0.004715566822035053
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",50,"Grants Pass, OR","16000US4130550","grants-pass-or",30,0.0008177283506419167
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",25,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",25,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",19,"Grants Pass, OR","16000US4130550","grants-pass-or",13,0.00035434895194483057
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",601,"Grants Pass, OR","16000US4130550","grants-pass-or",1267,0.03453539400877695
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",331.3397048347813,"Grants Pass, OR","16000US4130550","grants-pass-or",1359,0.03704309428407883
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",158.35403373454054,"Grants Pass, OR","16000US4130550","grants-pass-or",229,0.006241993076566631
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",547,"Grants Pass, OR","16000US4130550","grants-pass-or",31570,0.8584402871437894
0,"White Alone",1,"Hispanic or Latino",2016,"2016",393,"Grants Pass, OR","16000US4130550","grants-pass-or",1874,0.05095714596475963
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",62,"Grants Pass, OR","16000US4130550","grants-pass-or",227,0.006172503806830542
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",17,"Grants Pass, OR","16000US4130550","grants-pass-or",10,0.00027191646726125733
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",122,"Grants Pass, OR","16000US4130550","grants-pass-or",211,0.00573743745921253
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",119,"Grants Pass, OR","16000US4130550","grants-pass-or",103,0.002800739612790951
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",168,"Grants Pass, OR","16000US4130550","grants-pass-or",246,0.006689145094626931
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",50,"Grants Pass, OR","16000US4130550","grants-pass-or",34,0.000924515988688275
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",25,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",25,"Grants Pass, OR","16000US4130550","grants-pass-or",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",16,"Grants Pass, OR","16000US4130550","grants-pass-or",11,0.0002991081139873831
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",536,"Grants Pass, OR","16000US4130550","grants-pass-or",1061,0.028850337176419404
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",296.67490625261854,"Grants Pass, OR","16000US4130550","grants-pass-or",1146,0.03116162714814009
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",147.14618581533128,"Grants Pass, OR","16000US4130550","grants-pass-or",283,0.007695236023493582
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",669,"Grants Pass, OR","16000US4130550","grants-pass-or",30959,0.8510363406454451
0,"White Alone",1,"Hispanic or Latino",2015,"2015",489,"Grants Pass, OR","16000US4130550","grants-pass-or",2368,0.06509428775633624
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",60.00000000000001,"Grants Pass, OR","16000US4130550","grants-pass-or",125,0.0034361427236241685
