ID Period of Service,Period of Service,ID Year,Year,Veterans,Veterans Moe,Geography,ID Geography,Slug Geography,share
0,"Gulf War (2001-)",2020,"2020",3679378,18981.032874951772,"United States","01000US","united-states",0.2660599185791329
1,"Gulf War (1990s)",2020,"2020",2527375,15715.53603921928,"United States","01000US","united-states",0.18275729939107535
2,"Vietnam",2020,"2020",5939729,22995.148292629034,"United States","01000US","united-states",0.42950841531425
3,"Korea",2020,"2020",1224977,9323.378464912814,"United States","01000US","united-states",0.088579450353106
4,"World War II",2020,"2020",457674,4975,"United States","01000US","united-states",0.033094916362435736
0,"Gulf War (2001-)",2020,"2020",681,216.63563880396038,"Grants Pass, OR","16000US4130550","grants-pass-or",0.28280730897009965
1,"Gulf War (1990s)",2020,"2020",479,244.84484883288846,"Grants Pass, OR","16000US4130550","grants-pass-or",0.1989202657807309
2,"Vietnam",2020,"2020",711,187.48333259252675,"Grants Pass, OR","16000US4130550","grants-pass-or",0.295265780730897
3,"Korea",2020,"2020",311,133.36041391657417,"Grants Pass, OR","16000US4130550","grants-pass-or",0.12915282392026578
4,"World War II",2020,"2020",226,211,"Grants Pass, OR","16000US4130550","grants-pass-or",0.09385382059800665
0,"Gulf War (2001-)",2019,"2019",3520756,16365.741840808805,"United States","01000US","united-states",0.2495916295868742
1,"Gulf War (1990s)",2019,"2019",2521630,13627.202390806411,"United States","01000US","united-states",0.17876210135412665
2,"Vietnam",2019,"2019",6160282,18188.70894263801,"United States","01000US","united-states",0.436711553738654
3,"Korea",2019,"2019",1331794,7256.591830880389,"United States","01000US","united-states",0.09441285756071183
4,"World War II",2019,"2019",571604,4674,"United States","01000US","united-states",0.04052185775963334
0,"Gulf War (2001-)",2019,"2019",546,200.02249873451737,"Grants Pass, OR","16000US4130550","grants-pass-or",0.25
1,"Gulf War (1990s)",2019,"2019",257,91.23595782365635,"Grants Pass, OR","16000US4130550","grants-pass-or",0.11767399267399267
2,"Vietnam",2019,"2019",957,210.51840774621112,"Grants Pass, OR","16000US4130550","grants-pass-or",0.4381868131868132
3,"Korea",2019,"2019",345,141.2834031300209,"Grants Pass, OR","16000US4130550","grants-pass-or",0.15796703296703296
4,"World War II",2019,"2019",79,53,"Grants Pass, OR","16000US4130550","grants-pass-or",0.036172161172161175
0,"Gulf War (2001-)",2018,"2018",3357056,15854.366654016803,"United States","01000US","united-states",0.23347063152578476
1,"Gulf War (1990s)",2018,"2018",2521985,13206.66971647281,"United States","01000US","united-states",0.17539458104021985
2,"Vietnam",2018,"2018",6315664,18663.037534120755,"United States","01000US","united-states",0.4392307017174166
