,Period of Service,Year,Veterans,Geography
5,Gulf War (2001-),2020,681,"Grants Pass, OR"
6,Gulf War (1990s),2020,479,"Grants Pass, OR"
7,Vietnam,2020,711,"Grants Pass, OR"
8,Korea,2020,311,"Grants Pass, OR"
9,World War II,2020,226,"Grants Pass, OR"
15,Gulf War (2001-),2019,546,"Grants Pass, OR"
16,Gulf War (1990s),2019,257,"Grants Pass, OR"
17,Vietnam,2019,957,"Grants Pass, OR"
18,Korea,2019,345,"Grants Pass, OR"
19,World War II,2019,79,"Grants Pass, OR"
25,Gulf War (2001-),2018,518,"Grants Pass, OR"
26,Gulf War (1990s),2018,314,"Grants Pass, OR"
27,Vietnam,2018,886,"Grants Pass, OR"
28,Korea,2018,329,"Grants Pass, OR"
29,World War II,2018,81,"Grants Pass, OR"
35,Gulf War (2001-),2017,456,"Grants Pass, OR"
36,Gulf War (1990s),2017,313,"Grants Pass, OR"
37,Vietnam,2017,1050,"Grants Pass, OR"
38,Korea,2017,308,"Grants Pass, OR"
39,World War II,2017,98,"Grants Pass, OR"
45,Gulf War (2001-),2016,488,"Grants Pass, OR"
46,Gulf War (1990s),2016,247,"Grants Pass, OR"
47,Vietnam,2016,1119,"Grants Pass, OR"
48,Korea,2016,371,"Grants Pass, OR"
49,World War II,2016,238,"Grants Pass, OR"
55,Gulf War (2001-),2015,410,"Grants Pass, OR"
56,Gulf War (1990s),2015,250,"Grants Pass, OR"
57,Vietnam,2015,1137,"Grants Pass, OR"
58,Korea,2015,426,"Grants Pass, OR"
59,World War II,2015,287,"Grants Pass, OR"
65,Gulf War (2001-),2014,298,"Grants Pass, OR"
66,Gulf War (1990s),2014,235,"Grants Pass, OR"
67,Vietnam,2014,916,"Grants Pass, OR"
68,Korea,2014,370,"Grants Pass, OR"
69,World War II,2014,388,"Grants Pass, OR"
75,Gulf War (2001-),2013,306,"Grants Pass, OR"
76,Gulf War (1990s),2013,201,"Grants Pass, OR"
77,Vietnam,2013,1026,"Grants Pass, OR"
78,Korea,2013,416,"Grants Pass, OR"
79,World War II,2013,452,"Grants Pass, OR"
